-0.0230565	0.0174191	-0.006756	
-0.0128773	-0.0295554	-0.0277156	
-0.0322776	-0.0177052	-0.0324505	
0.0237724	-0.0256159	-0.0017245	
-0.0291768	0.0062686	-0.0422295	
-0.0298499	0.0075053	-0.0409275	
-0.0117962	-0.0261784	0.0043992	
-0.0237782	-0.0050284	-0.0449592	
-0.0273461	-0.0242081	-0.0201443	
-0.0262633	-0.0029023	-0.0446235	
-0.0099755	-0.0079597	-0.0448925	
-0.0274803	-0.0097027	-0.0436782	
-0.0240133	-0.0257184	-0.0284861	
-0.0326637	-0.0128044	-0.037623	
0.0152704	-0.0056268	-0.023977	
-0.0234301	-0.0064153	-0.0449694	
-0.0028633	0.01976	0.0106143	
0.0128207	-0.0186308	-0.0079956	
-0.0330607	-0.018115	-0.0241271	
-0.0311969	0.00683	-0.039712	
-0.0160141	-0.0019349	-0.0450274	
-0.0236352	0.0198767	-0.026382	
-0.0155252	0.0184487	-0.043124	
-0.0200909	-0.0039422	-0.0450972	
-0.0281668	0.015235	-0.0343616	
-0.0228585	0.0134352	-0.043386	
-0.0267084	-0.0069793	-0.0442795	
-0.0219718	-0.0048388	-0.0450798	
-0.0175611	-0.0125132	-0.0448207	
-0.0297588	0.0114528	-0.0375863	
-0.0371499	0.0031791	-0.021213	
-0.0330258	-0.0052325	-0.040173	
-0.0263937	0.0098628	-0.0428359	
-0.0251017	-0.0064473	-0.0447105	
-0.02374	-0.010102	-0.0447229	
0.0215414	-0.0003537	0.0175695	
-0.0249904	-0.0195555	-0.0408809	
-0.0307946	-0.0089462	-0.0022305	
0.0006391	0.0080193	-0.0458443	
-0.0189804	-0.0081558	-0.044972	
-0.0229463	-0.0008198	-0.0450653	
-0.0321683	0.0009905	-0.0411881	
-0.0341599	0.0090683	-0.028811	
0.0093464	0.0343954	-0.0208591	
-0.0365459	0.0001024	-0.032192	
-0.0047527	-0.0254055	-0.043167	
-0.0202452	0.0063897	-0.0453728	
-0.0304275	-0.0069525	-0.0425715	
-0.0303837	0.008814	-0.0392956	
-0.0335402	0.0076773	-0.0343797	
-0.0282091	0.0084687	-0.0420305	
-0.0248234	0.0058355	-0.0446509	
-0.0249152	-0.008485	-0.0446406	
-0.0253438	-0.0148296	-0.0433484	
-0.0364439	-0.0092915	-0.0293014	
-0.0322357	-0.0165361	-0.0122404	
-0.0266804	-0.0051441	-0.0444426	
-0.0294275	-0.0038459	-0.0435502	
-0.028492	0.0003867	-0.0440577	
-0.0301657	0.0133523	-0.0179092	
-0.0216023	-0.0071011	-0.0450479	
